name,url,image,startDate,endDate,description,description_fr,location,city,region,page,region_abbr
National Cannabis Festival 2025,https://www.musicfestivalwizard.com/festivals/national-cannabis-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2022/12/National-Cannabis-Festival-Hero.jpg,2025-07-17,2025-07-19,In 2015 a small group of cannabis enthusiasts joined together around the idea to create National Cannabis Festival — an event celebrating progress on marijuana legalization in DC and across the nation.,"En 2015, un petit groupe de passionnés de cannabis s'est réunis autour de l'idée de créer national cannabis - un événement célébrant les progrès sur la légalisation de la marijuana à la nation DC et à travers la nation.",RFK Stadium,Washington,District of Columbia,4,DC
Rock Fest Wisconsin 2025,https://www.musicfestivalwizard.com/festivals/rock-fest-wisconsin-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2016/11/RockFest_2017_Logo.jpg,2025-07-17,2025-07-19,"There are rock fests and then there is The Rock Fest. Now in its 25th year, Rock Fest in Wisconsin features the very best of active and classic rock names in the history of the genre.  Aerosmith, Iron Maiden, Avenged Sevenfold, Kiss, Motley Crue, Fleetwood Mac, Tom Petty, Kid Rock, Shinedown, Five Finger Death Punch, Rob Zombie, and Korn are just a few of the names to touch down here. And with 7,000 campsites, you know it’s going to be a crazy weekend of rock.","Il y a des fêtes de rock et alors il y a le rock fest. Maintenant dans sa 25e année, rock fest dans Wisconsin Features the Best of Active and Rock Noms in the History of the Genre.  Aerosmith, Iron Maiden, Avenged Sevenfold, Kiss, Motley Crue, Fleetwood Mac, Tom Petty, Kid Rock, Shinedown, Five doigt Death Punch, Rob Zombie, et Korn ne sont que quelques-uns les pour toucher ici. Et Avec 7 000 campings, vous savez que ce sera un week-end de rock fou.",Rock Fest Grounds,Cadott,Wisconsin,4,WI
Secret Dreams Festival 2025,https://www.musicfestivalwizard.com/festivals/secret-dreams-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2019/10/Vito-Valentinetti-Check-In-Party-2019-66.jpg,2025-07-17,2025-07-19,Secret Dreams is a fresh and immersive weekend festival focusing on both visual and performance art at the esteemed Legend Valley in Ohio.,Secret Dreams est un festival de week-end immersif frais et se concentrant sur l'art de la performance visuel et à The légende estimée Valley en Ohio.,Legend Valley,Thornville,Ohio,4,OH
Soundit Festival 2025,https://www.musicfestivalwizard.com/festivals/soundit-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/12/Soundit-Festival-2025-Lineup-Poster.webp,2025-07-18,2025-07-19,"SoundIT Festival was born with a clear intention, to create a space where you can discover, dance and feel with 5 stages, 2 days, 24 hours of music and more than 60 artists. Let's go!","Sounit Festival est né avec une intention claire, de créer un espace où vous pouvez découvrir, danser et avec 5 étapes, 2 jours, 24 heures de musique et Plus de 60 artistes. Allons-y!",Parc Nou de El Prat de Llobregat,Barcelona,Spain,4,ES
Summer of 99 And Beyond Festival 2025,https://www.musicfestivalwizard.com/festivals/summer-of-99-and-beyond-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/02/Summer-of-99-and-Beyond-Festival-2025-Lineup-Poster.jpg,2025-07-18,2025-07-19,"It's the first time since 1999 that Creed and Nickelback have shared a stage. So with eyes wide open, head to Wisconsin to party with nu-metal legends of the 90s!","C'est le la première fois depuis 1999 que Creed et Nickelback a partagé une étape. Ainsi, avec les yeux grands ouverts, dirigez-vous vers le Wisconsin pour faire la fête avec des légendes nu-metal de les 90!",Alpine Valley Music Theatre,East Troy,Wisconsin,4,WI
Sun & Thunder Festival 2025,https://www.musicfestivalwizard.com/festivals/sun-thunder-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/04/Sun-and-Thunder-2025-Lineup-Poster.jpg,2025-07-17,2025-07-19,"When heavy rock meets the sunny beaches of Costa del Sol, Sun & Thunder Festival is born! It's a 3-day weekend of top bands in Fuengirola, Spain.","Quand Heavy Rock rencontre les plages ensoleillées de Costa del Sol, Sun & Thunder Le festival est né! C'est un week-end de 3 jours de meilleurs groupes à Fuengirola, en Espagne.",Marenostrum Fuengirola,Fuengirola,Spain,4,ES
Super Bock Super Rock 2025,https://www.musicfestivalwizard.com/festivals/super-bock-super-rock-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2014/12/Super_Bock_Super_Rock_Logo-e1419718580582.jpg,2025-07-17,2025-07-19,"If it's rock and it's Portugal, then it must be Super Bock Super Rock. Entertaining fans since 1994, this is one of the main music events of the summer for Portugal, with a lineup that is well worth the trip for music lovers of any genre.","Si c'est rock et c'est le Portugal, alors il doit être super bock super rock. Divertissant les fans depuis 1994, c'est l'un des événements musicaux principaux les de l'été le pour le Portugal, avec une gamme qui vaut bien le voyage pour les amateurs de musique de n'importe quel genre.",Parque das Nações,Lisbon,Portugal,4,PT
Tall Pines Music Festival 2025,https://www.musicfestivalwizard.com/festivals/tall-pines-music-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/07/Tall-Pines-Logo.jpg,2025-07-18,2025-07-19,"Tall Pines Music & Arts Festival proudly takes place against the stunning backdrop of Lake Muskoka and features Canada’s most celebrated bands, live art installations, a local vendor village, food trucks, kids zone, canoeing, and afterparties.",Tall Pines Music & Arts Festival se déroule avec fier Afterparties.,Muskoka Wharf,Gravenhurst,Ontario,4,ON
Tsunami Festival 2025,https://www.musicfestivalwizard.com/festivals/tsunami-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2022/12/Tsunami-Hero.jpg,2025-07-18,2025-07-19,Old punk meets new rock at Tsunami Festival which takes place in Gijón in the north of Spain.,Old Punk rencontre un nouveau rock au Tsunami festival qui se déroule à Gijón à le au nord de l'Espagne.,Laboral City of Culture,Gijón,Spain,4,ES
Upheaval Festival 2025,https://www.musicfestivalwizard.com/festivals/upheaval-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/07/Upheaval-Hero.jpg,2025-07-18,2025-07-19,"Upheaval is a two-day rock music festival in Grand Rapids, Michigan during the middle of July.","Bouleversements est un festival de musique rock de deux jours à Grand Rapids, Michigan pendant The mi-juillet.",Belknap Park,Grand Rapids,Michigan,4,MI
Vermont Brewers Festival 2025,https://www.musicfestivalwizard.com/festivals/vermont-brewers-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/05/Vermont-Brewers-Festival-Featured-Image.jpg,2025-07-18,2025-07-19,"The Vermont Brewers Festival will be bringing an abundance of quality beer brewers and vendors based in the Green Mountain State together for 2 days this July. There will be three tasting sessions spread out over two separate days from breweries that put Vermont on the craft map, to a new generation of taprooms, there will be something for every beer enthusiast at this festival!","Le Vermont Brewers Festival apportera une abondance de brasseurs de bière de qualité et des vendeurs basés ensemble dans 2 jours en juillet. Il y aura trois séances de dégustation réparties sur deux jours distincts des brasseries qui mettent Vermont sur la carte artisanale la, à une nouvelle génération de salles de tapis, il y aura quelque chose pour chaque passionné de bière dans ce festival!",Burlington Waterfront Park,Burlington,Vermont,4,VT
Amphi Festival 2025,https://www.musicfestivalwizard.com/festivals/amphi-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2022/10/Amphi-Editorial.jpg,2025-07-19,2025-07-20,Cologne's sublime goth and industrial festival. Amphi is where the dark music world meets!,Le sublime goth de Cologne et Festival industriel. Amphi est où le Dark Music World se réunit!,Tanzbrunnen,Cologne,Germany,4,DE
Atlas Weekend 2025,https://www.musicfestivalwizard.com/festivals/atlas-weekend-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2019/10/Atlas_Weekend_Editorial.png,2025-07-18,2025-07-20,"When it comes to major music festivals in Ukraine, it doesn't get any bigger than Atlas Weekend. For five nights, the Kyiv Expocenter is filled with a capacity crowd to hear rock, indie, hip hop, and EDM from around the world.","En ce qui concerne les principaux festivals de musique en Ukraine, il ne devient pas plus grand que atlas week-end. Pour Cinq nuits, le Kyiv Expocenter est rempli d'une foule de capacité à entendre Rock, Indie, Hip Hop, et EDM de environ le monde.",Blockbuster Mall,Kyiv,Ukraine,5,UA
Big Love Festival 2025,https://www.musicfestivalwizard.com/festivals/big-love-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2015/09/Vito-Valentinetti-2015-Amsterdam-Woods-17.jpg,2025-07-17,2025-07-20,"Big Love is a 3-day music and arts festival set in the stunning South Wales countryside. Festival goers can enjoy 130 live acts and DJs, plus circus performances, creative workshops, comedy and art installations.","Big love est une musique de 3 jours et Festival des arts définie dans le étonnant Sud Countryside du Pays de Galles. Les festivaliers peuvent profiter de 130 actes en direct et DJ, plus des performances de cirque, des ateliers créatifs, des installations d'art de la comédie et.",Cwm Cayo Farm,Monmouthsire,Wales,5,WL
Country Thunder Wisconsin 2025,https://www.musicfestivalwizard.com/festivals/country-thunder-wisconsin-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2017/06/Country_Thunder_Logo.jpg,2025-07-17,2025-07-20,"Grab a cowboy hat, an RV or tent if you want to camp and come and enjoy the worlds premier country acts with the camaraderie of over 100,000 fans!","Prenez un chapeau de cowboy, un RV ou une tente si vous voulez camper et Venez et Profitez The Worlds Premier Country agit avec The Camaraderie de plus de 100 000 fans!",Twin Lakes,Twin Lakes,Wisconsin,5,WI
Deichbrand Festival 2025,https://www.musicfestivalwizard.com/festivals/deichbrand-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2018/11/Deichbrand_Festival_Logo.png,2025-07-17,2025-07-20,"When it started back in 2005, the Deichbrand Festival sold 500 tickets. Last year, the attendance at the festival hit 60,000 festies all there to catch a mix of metal, indie-rock, hip-hop, and pop. This camping festival takes place at the Cuxhaven/Nordholz sea airport in the north of Germany.","Quand il a commencé en 2005, le Deichbrand a vendu 500 billets. L'année dernière, la présente au le festival a frappé 60 000 festivals pour attraper un mélange de métal, indie-rock, hip-hop, et pop. This Camping Festival a lieu à The Cuxhaven / Nordholz Sea Airport in the au nord de l'Allemagne.",Sea-Airport Cuxhaven/Nordholz,Wurster Nordseeküste,Germany,5,DE
Dour Festival 2025,https://www.musicfestivalwizard.com/festivals/dour-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2014/11/Dour_Logo.jpg,2025-07-16,2025-07-20,"The multi-genre Dour Festival has been tearing up the Belgian countryside since 1989. It may have started as a single day event with a few thousand folks, but now the five day mega-festival sees 225,000 attendees, and hundreds of artists. The mix of music includes everything from mainstream rock to electronic to pop.","Le Le festival multi-genre Dour a déchiré la camping belge depuis 1989. Il a peut-être commencé comme un événement en un seul jour avec quelques milliers de gens, mais maintenant le Méga-Festival de cinq jours see 225 000, et cent des centaines d'artistes. Le Le mélange de musique comprend tout, du rock traditionnel à l'électronique en passant par la pop.",Plaine de la Machine à Feu,Dour,Belgium,5,BE
Electric Castle Festival 2025,https://www.musicfestivalwizard.com/festivals/electric-castle-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2015/10/Electric_Castle_Logo-e1479909302730.jpg,2025-07-16,2025-07-20,"In just a few years years, Electric Castle has already become one of Romania’s most successful fests. Held under the shadow of the five century old Banffy Castle and surrounded by the rolling green hills of the Romanian countryside, EC still maintains the semblance of a much smaller fest. The lineup is designed to please, with artists performing mainstream EDM, hip-hop, reggae, drum & bass, metal, and indie rock. -100 Nights of Summer","En quelques années seulement, Electric Castle est déjà devenu l'une des fêtes les plus réussies de la Roumanie. Tenu sous l'ombre de le Banffy de cinq siècles de cinq siècles château et entouré de le Hills roulants verts de le Countryside Romanian, EC maintient toujours le en amont d'une grande fête. La gamme est conçue pour plaire, avec des artistes effectuant un EDM traditionnel, hip-hop, reggae, tambour et basse, métal, et indie rock. -100 nuits de été",Bánffy Castle,Bontida,Romania,5,RO
Folk by the Oak 2025,https://www.musicfestivalwizard.com/festivals/folk-by-the-oak-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/12/Folk-by-the-Oak-Hero-Pic-Editorial-scaled.jpg,2025-07-20,2025-07-20,"This 1-day festival features some of the finest folk, roots and acoustic music in the UK. This uplifting festival is one to be enjoyed by the whole family.","This Festival 1-jour présente certains des le folk, racines et de la musique acoustique dans le uk. This Festival édifiant est un festival à apprécier par la Famille entière.",Hatfield Park,Hertfordshire,United Kingdom,5,UK
Grassroots Finger Lakes Festival 2025,https://www.musicfestivalwizard.com/festivals/grassroots-finger-lakes-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/07/Grassroots-Festival-2025-Lineup-Poster.jpg,2025-07-17,2025-07-20,"The GrassRoots Festival, held in late July, takes place in the scenic Finger Lakes region of New York. The non-profit brings in 80+ bands for four days of music and camping.","Le festival de base, tenu fin juillet, se déroule dans le scenic doigt région des lacs de new York. Le sans but lucratif apporte des bandes de 80+ pour quatre jours de musique de musique et.",Trumansburg Fairgrounds,Trumansburg,New York,5,NY
Great Jones County Fair 2025,https://www.musicfestivalwizard.com/festivals/great-jones-county-fair-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/05/Great-Jones-County-Fair-Featured-Image.jpg,2025-07-16,2025-07-20,"This event draws audiences from far and wide and has been going on for over 170 years! There's live music, craft beer tents, fun and plenty attractions for the whole family.","This L'événement tire des publics de FAR et large et dure depuis plus de 170 ans! Il y a de la musique live, des tentes de bière artisanale, des attractions amusantes et pour la famille entière.",Great Jones County Fairgrounds,Monticello,Iowa,5,IA
Grey Fox Bluegrass Festival 2025,https://www.musicfestivalwizard.com/festivals/grey-fox-bluegrass-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/07/Grey-Fox-Hero.jpg,2025-07-16,2025-07-20,It's a weekend of bluegrass and camping in upstate New York!,C'est un week-end de Bluegrass et Camping dans Upstate new York!,The Walsh Farm,Oak Hill,New York,5,NY
Hillside Festival 2025,https://www.musicfestivalwizard.com/festivals/hillside-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2016/03/Hillside_Logo.jpg,2025-07-18,2025-07-20,An eco-friendly festival of music and community for 40 years!,Une communauté écologique de musique et depuis 40 ans!,Guelph Lake Island,Guelph,Ontario,5,ON
Ilosaarirock Festival 2025,https://www.musicfestivalwizard.com/festivals/ilosaarirock-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2012/02/Ilosaarirock_Logo.jpg,2025-07-18,2025-07-20,"Ilosaarirock, known locally as the best weekend of the summer, takes place in Joensuu from the 12th to the 14th of July, 2019. The festival is held at a scenic lakeside location, and is within walking distance from the city center.","IlosaariRock, connu localement sous le nom de le le meilleur week-end de The Summer, se déroule à Joensuu de le 12e à le 14 juillet, 2019. Se déroule dans un lieu de terrain pittoresque, est de la distance de randonnée à un lieu de lancement,. le centre-ville.",Laulurinne,Joensuu,Finland,5,FI
Inkcarceration Festival 2025,https://www.musicfestivalwizard.com/festivals/inkcarceration-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2020/06/Inkcarceration-Logo.jpg,2025-07-18,2025-07-20,"One of the most unique rock festivals in the country, INKCARCERATION is truly a festival to be experienced. Featuring some of the top names in rock, alternative and metal music on outdoor stages along with tattoo artists from all over the country, Reformatory tours, gourmet food, camping, and lots more.","One de les festivals de rock les plus uniques dans le pays le, l'inkcarcération est vraiment un festival à expérimenter. Doté de certains des meilleurs noms de les en rock, alternatif et Music métal sur des scènes de plein air avec des tatoueurs de partout le country, des visites de reformatrices, de la nourriture gastronomique, du camping, et bien plus.",Ohio State Reformatory,Mansfield,Ohio,5,OH
Les Vieilles Charrues 2025,https://www.musicfestivalwizard.com/festivals/les-vieilles-charrues-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2014/01/Vieilles_Charrues_Logo.jpg,2025-07-17,2025-07-20,"It's France biggest music festival of the summer! Translated to old plows, Les Vieilles Charrues is a 4-day indie rock and pop festival held in the northwest of France. What started as a 500 person party has exploded into the largest music fest in France with 280,000 revelers along with an incredible 5,500 volunteers in 2017.","C'est le plus grand festival de musique de la France de l'été The! Traduit dans de vieilles charrons, Les Vieilles Charrues est un festival pop indie de 4 jours et pop organisé dans le au nord-ouest de la France. Ce qui a commencé comme une fête de 500 personnes a explosé en le la plus grande fête de musique en France avec 280 000 fêtards avec 5 500 volontaires incroyables en 2017.",Les Vieilles Charrues,Carhaix,France,5,FR
Lollapalooza Paris 2025,https://www.musicfestivalwizard.com/festivals/lollapalooza-paris-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2015/10/Lollapalooza_Logo.jpg,2025-07-18,2025-07-20,"Since its inception in 1991, Lollapalooza has continued to grow from its U.S. based festival circuit to additional cities in countries across the globe. In 2016, Lollapalooza was introduced to Paris and continues to host a myriad of different international and local acts spanning all genres.","Depuis sa création en 1991, lollapalooza a continué de passer de son circuit de festival basé aux États-Unis vers des villes supplémentaires dans des pays de le globe. En 2016, lollapalooza a été présenté à Paris et continue d'accueillir une myriade de différents actes locaux internationaux et couvrant tous les genres.",Longchamp Racecourse,Paris,France,5,FR
Mares Vivas 2025,https://www.musicfestivalwizard.com/festivals/mares-vivas-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2016/12/meo-mares-vivas-e1482254044243.jpg,2025-07-18,2025-07-20,"Loosely translated into 'seas alive', the annual Mares Vivas Festival is held in Vila Nova de Gaia each July. Elton John, Bush, The Smashing Pumpkins, Bill Idol, The Cult, and The Hives have all performed at Mares Vivas.","Traduit vaguement en 'Seas Alive', le Festival annuel Mares VIVAS a lieu à Vila Nova de Gaia en juillet. Elton John, Bush, The Smashing Pumpkins, Bill Idol, the culte, et les ruches ont toutes effectué à jumelles vivas.",Vila Nova de Gaia,Praia do Cabedelo,Portugal,5,PT
Miche Fest 2025,https://www.musicfestivalwizard.com/festivals/miche-fest-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/03/Miche-Fest-2025-Lineup-Poster.jpg,2025-07-19,2025-07-20,Chicago’s Latino Festival takes place at Oakwood Beach in Chicago.,Le festival latino Chicago a lieu à Oakwood Beach dans Chicago.,Oakwood Beach,Chicago,Illinois,5,IL
Minnesota Yacht Club Festival 2025,https://www.musicfestivalwizard.com/festivals/minnesota-yacht-club-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/09/Minnesota-Yacht-Club-Logo.jpg,2025-07-18,2025-07-20,"The Minnesota Yacht Club festival will bring fans together for two days of performances across two stages with no overlapping sets along the Mississippi river bank. Fans can enjoy historic riverboat rides, comfortable lounges, exclusive food options, air-conditioned restrooms, and more.","Le Minnesota Yacht Le festival du club réunira les fans pendant deux jours de performances sur deux étapes sans sets qui se chevauchent le long de The Mississippi River Bank. Les fans peuvent profiter de promenades fluviales historiques, de salons confortables, d'options de nourriture exclusives, de toilettes climatisées, et plus.",Harriet Island Regional Park,Saint Paul,Minnesota,5,MN
Northern Nights 2025,https://www.musicfestivalwizard.com/festivals/northern-nights-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2014/04/Northern_Nights_Logo.jpg,2025-07-18,2025-07-20,"Connecting music and nature, Northern Nights Music Festival is one of the most sought after events held at Cook’s Valley Campground in Northern California. Promoted as a music and arts, camping, yoga and cannabis retreat, the festival features a varied lineup of primarily electronic artists. Still a small festival by industry standards, Northern Nights tops out at 6,000 attendees. The selective attendee limit and festival grounds play a large role in Northern Nights success. The campgrounds are home to swimming holes and the largest Redwood grove in the nation where camping is allowed.","Connecter la musique et Nature, Northern Nights Music Le festival est l'un des le les événements les plus recherchés à Cook Valley Northern Californie. Promu comme une musique et arts, camping, yoga et Retreat de cannabis, le festival présente une gamme variée d'artistes principalement électroniques. Encore un petit festival par rapport aux normes de l'industrie, Northern Nights est en tête de 6 000 participants. Le Limite sélective des participants et Les terrains du festival jouent un grand rôle dans le succès Northern nuits. Les terrains de camping abritent des trous de natation et le le plus grand bosquet de séquoias dans la nation la où le camping est autorisé.",Cook’s Valley Campground,Piercy,California,5,CA
Nozstock The Hidden Valley 2025,https://www.musicfestivalwizard.com/festivals/nozstock-the-hidden-valley-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2015/02/Nozstock_Logo.png,2025-07-17,2025-07-20,"Tucked away in the rolling hills of Herfordshire, Nozstock The Hidden Valley, is a delightful boutique festival in the UK. The weekend odyssey makes its home on a beautiful working farm filled with eccentric festies, winding forest paths, and relaxed campgrounds. Come prepared for a lineup of pop, ska, folk, funk, soul, indie, house, and a whole lot more, along with a fresh festival theme each year.","Niché dans The Rolling Hills of Herfordshire, Nozstock le Hidden Valley, est un délicieux festival de boutique à le uk. The Le week-end Odyssey fait sa maison dans une belle ferme en activité remplie de fêtes excentriques, de chemins forestiers sinueux, et Camp de camping détendu. Préparez-vous pour une gamme de pop, Ska, Folk, Funk, Soul, Indie, House, et Beaucoup plus, ainsi qu'un nouveau thème de festival chaque année.",Rowden Paddocks,Herefordshire,United Kingdom,6,UK
OK Fest 2025,https://www.musicfestivalwizard.com/festivals/ok-fest-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2022/05/OK-Fest-Hero-scaled.jpg,2025-07-18,2025-07-20,"OK Fest is a one of kind experience in The Balkans. Spend your days hiking, rafting, and camping in Europe's only preserved rainforest while bumping to the music all night.","OK Fest est une expérience aimable dans les Balkans les. Passez vos journées à faire de la randonnée, du rafting, et camping dans europe est préservé la forêt tropicale tout en se heurtant à la musique la toute la nuit.",Tjentiste,Tjentiste,Bosnia & Herzegovina,6,BA
ParookaVille 2025,https://www.musicfestivalwizard.com/festivals/parookaville-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2017/03/ParookaVille_Logo.jpg,2025-07-18,2025-07-20,"'Parookaville is a city that comes to life once a year to keep the legend of Bill Parooka alive. It was built as an artistic, free flowing and mad musical place where people can make contact with their pure selves, experience true connections and feel deep sensation of bliss and fulfillment. Step into the dark if you dare, follow your inner light and dive into a spectacular world of freedom and love!'","'Parookaville est une ville qui prend vie une fois par an pour garder en vie la de Bill Parooka. Il a été construit comme un lieu musical fou artistique et libre et où les gens peuvent entrer en contact avec leur moi pur, expérimenter de vraies connexions et ressentent une sensation profonde du bonheur et épanouissement. Entrez dans le sombre si vous osez, suivez votre lumière intérieure et Dive dans un monde spectaculaire de liberté et Love! '",Weeze Airport,Weeze,Germany,6,DE
Punk in the Park Denver 2025,https://www.musicfestivalwizard.com/festivals/punk-in-the-park-denver-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/01/Punk-in-the-Park-Featured-Image.jpg,2025-07-18,2025-07-20,Punk the Park hits the road this summer!,Punk The Park frappe la route cet été!,National Western Stockyards,Denver,Colorado,6,CO
Rockland Fest 2025,https://www.musicfestivalwizard.com/festivals/rockland-fest-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/03/Rockland-Fest-2025-Lineup-Poster.jpg,2025-07-18,2025-07-20,Rockland Art Fest in Santo Domingo de la Calzada will take over the streets of Riojan with live music and a rocking summer event for 3 days.,"Rockland Art Fest Dans Santo Domingo de la Calzada, prendra le relais les Streets of Riojan avec de la musique live et un événement d'été balançant pendant 3 jours.",Athletics tracks,Santo Domingo de la Calzada,Spain,6,ES
Sea You Festival 2025,https://www.musicfestivalwizard.com/festivals/sea-you-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2017/12/Sea_You_Festival_Logo.jpg,2025-07-18,2025-07-20,There's more to Sea You than just two full days with more than a 100 artists playing on 7 stages. There's chilling on the water with views of the Black Forest. There's free wake-boarding. There's dancing in and on the water. It's Germany's largest beach club and you're invited.,Il y a plus à Sea vous que deux jours complets avec plus de 100 artistes jouant sur 7 étapes. Il y a du refroidissement sur la eau avec des vues de le noir forêt. Il y a un sillage gratuit. Il y a de la danse dans l'eau et sur l'eau la. C'est le plus grand club de plage de l'Allemagne et que vous êtes invité.,Tunisee,Freiburg,Germany,6,DE
Splendour Festival 2025,https://www.musicfestivalwizard.com/festivals/splendour-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/02/Splendour-Festival-FI.jpg,2025-07-19,2025-07-20,"Splendour Festival is Nottinghamshire’s biggest festival. Set in the beautiful surroundings of Wollaton Hall & Deer Park, attendees can enjoy 5 stages of music that spans all genres; from fast-rising stars to world-class performers, and musical icons, Splendour line-ups are always a wonderful mix of acts that can be enjoyed by the whole family. Alongside the music, you can expect comedy, a funfair, a silent disco, independent market stalls, an array of gourmet food and drink, a dedicated kids’ area, and fringe activities. Mark it in your diaries, Splendour will be your favourite day of the summer.","Splendor Festival est le plus grand festival du Nottinghamshire. Défini dans The Beautions beaux de Wollaton Hall & Deer Park, les participants peuvent profiter de 5 étapes de musique qui couvre tous les genres; Des étoiles à croissance rapide aux artistes de classe mondiale, et icônes musicales, Splendor Les gnseaux sont toujours un merveilleux mélange d'actes qui peuvent être appréciés par la famille. Parallèlement à la musique la, vous pouvez vous attendre à une comédie, à une funfair, une discothèque silencieuse, des étals de marché indépendants, un éventail de nourriture gastronomique et, une zone de frange pour enfants dédiée, et activités franges. Marquez-le dans vos journaux intimes, Splendor sera votre jour préféré de l'été The.",Wollaton Hall & Deer Park,Nottingham,United Kingdom,6,UK
The Beat-Herder Festival 2025,https://www.musicfestivalwizard.com/festivals/the-beat-herder-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2017/04/Beat_Herder_Logo_.jpg,2025-07-17,2025-07-20,"Back in 2006, the Beat-Herder Festival saw 1200 festies. Since then it has grown to a colossal creation of 16 additional areas for music, 14 bars, fairgrounds, 40+ stalls, and thousands upon thousands of devoted fans. 'Built on unconditional love and the tireless efforts of many,' Beat-Herder prides itself on the magical atmosphere.","Back En 2006, le Beat-Herder Le festival a vu 1200 fêtes. Depuis lors, il est devenu une création colossale de 16 zones supplémentaires pour la musique, 14 bars, des champs de foire, plus de 40 stands, et des milliers et des milliers de fans dévoués. 'Construit sur l'amour inconditionnel et les efforts inlassables de beaucoup,' Beat-Herder se targue de l'atmosphère magique.",Dockber Farm,Ribble Valley,United Kingdom,6,UK
Timescape Festival 2025,https://www.musicfestivalwizard.com/festivals/timescape-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/04/Timescape-Festival-Featured-Image.jpg,2025-07-18,2025-07-20,"Timescape Festival is one of the UK's premier electronic music events blending past, present & future sounds for an unforgettable journey.","Le festival Timescape est l'un des premiers événements de musique électronique du Royaume-Uni au Royaume-Uni mélangeant les sons passés, présents et futurs pour un voyage inoubliable.",,Cambridgeshire,United Kingdom,6,UK
Under the Big Sky Fest 2025,https://www.musicfestivalwizard.com/festivals/under-the-big-sky-fest-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2019/02/Under_the_Big_Sky_Fest.png,2025-07-18,2025-07-20,"'Under The Big Sky will showcase the very best in Americana, folk, alt-country and rock across two beautiful stages in the heart of one of America’s most unspoiled and pristine regions of natural wilderness. The festival pairs cutting edge emerging voices and talents with musical icons, creating a unique showcase for the diverse strains of American music today.'","'Under The Big Sky présentera le le meilleur en Americana, Folk, Alt-Country et Rock à travers deux belles étapes de le le cœur de l'une des régions pratiques de l'Amérique. Le Festival associe des voix émergentes de pointe et talents avec des icônes musicales, créant une vitrine unique pour les diverses souches de musique américaine aujourd'hui. '",Big Mountain Ranch,Whitefish,Montana,6,MT
